Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-426,11/3/2025,11/3/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,3274.56,3274.56,Paid In Full,"DM Boundary survey & doc fee - 30.064 ACRE TRACT, HILL COUNTY, TEXAS - HUB 20",11/6/2025
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3436,11/3/2025,11/3/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,13000,13000,Paid In Full,DM Real estate support - October 2025,11/4/2025
"Nexus Data Centers, LLC",Datasite LLC,INV-851188,11/5/2025,12/5/2025,Nov-25,Bill,Corporate : Finance,967.08,967.08,Paid In Full,DM Pages processed - October 2025,12/5/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020035663,11/6/2025,11/6/2025,Nov-25,Bill,Corporate : Legal,552498.09,552498.09,Paid In Full,"DM For transactional services rendered and expenses incurred through October 31, 2025 - October 2025",12/5/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS 45963,11/6/2025,11/21/2025,Nov-25,Bill,Corporate : Marketing / Branding,15000,15000,Paid In Full,DM 2nd installment payment per signed SOW - Installment payment 2,11/28/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 11/7/25,11/7/2025,11/7/2025,Nov-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 11/9/25,11/9/2025,11/9/2025,Nov-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-003,11/10/2025,12/10/2025,Nov-25,Bill,Development : Project Management : Project Management Procore,29843.55,29843.55,Paid In Full,DM Schedule management services for the Nexus Program Team. Reference services agreement signed on 7/16/2025 between IPI and Nexus Data Centers. - October 2025,12/9/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",159070,11/11/2025,11/11/2025,Nov-25,Bill,Development : Engineering : Engineering Procore,17479.1,17479.1,Paid In Full,"DM Preliminary Power Design, Electrical Master Plan for November - Thru 11/7/2025",11/28/2025
"Nexus Data Centers, LLC",Marsh USA LLC,8.01029E+11,11/11/2025,12/10/2025,Nov-25,Bill,Operations : Insurance,343165.47,343165.47,Paid In Full,DM Annual Insurance Premium - Enviro/Pollution (PLL & CPL) - 11/9 effective date / prepaid annual policy,12/5/2025
"Nexus Land Holdings, LLC",Blackland Surveying LLC,25-09-0580,11/12/2025,12/12/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,5629,5629,Paid In Full,DM HUB-14-REG (Fuller) survey,12/17/2025
"Nexus Hubbard Power, LLC",BaseLoad Power Generaion Parts and Service Inc ( GESA),INV285,11/12/2025,11/12/2025,Nov-25,Bill,Development : Asset Procurement : Asset Procurement Gen,10220000,10220000,Paid In Full,DM Power Gen Equipment - 8 LM6000s - Prepaid equipment asset,11/13/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",159193,11/13/2025,11/13/2025,Nov-25,Bill,Development : Engineering : Engineering Procore,6407.5,6407.5,Paid In Full,DM Nexus High Voltage Conceptual Design - 10/27/25 - 11/7/2025,11/28/2025
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259-01,11/13/2025,12/13/2025,Nov-25,Bill,Development : Construction : Construction Procore,50000,50000,Paid In Full,DM LNTP initial payment,11/17/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",159293,11/14/2025,11/14/2025,Nov-25,Bill,Development : Engineering : Engineering Procore,4218,4218,Paid In Full,DM Design and permitting for October 2025 - October 2025,11/28/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10020702,11/17/2025,11/17/2025,Nov-25,Bill,Development : Regulatory : Regulatory Procore,32015,32015,Paid In Full,"DM Feasibility & Design Analysis, Dispersion Modeling - October 2025",11/28/2025
"Nexus Apex Holdings, LLC",michels construction inc,21255115,11/17/2025,11/17/2025,Nov-25,Bill,Development : Fiber : Fiber Procore,59490,59490,Paid In Full,DM Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex - Thru 11/9/2025,12/9/2025
"Nexus Land Holdings, LLC",Blackland Surveying LLC,25-09-0543(2),11/18/2025,12/18/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,1500,1500,Paid In Full,DM 1058 St Hwy 171 Benchmark Control - November 2025,12/17/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",10202512,11/19/2025,11/19/2025,Nov-25,Bill,Development : Regulatory : Regulatory Procore,61594.38,61594.38,Paid In Full,"DM Envi, Equator principles, water sample - October 2025",12/11/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-475,11/19/2025,11/19/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,1537.15,1537.15,Paid In Full,DM HUB-28-LOG survey invoice,11/28/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251227-003,11/19/2025,11/25/2025,Nov-25,Bill,Development : Engineering : Engineering Gen,500000,500000,Paid In Full,DM Next lump sum payment upon completion of site work,12/5/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-476,11/20/2025,11/20/2025,Nov-25,Bill,Infrastructure : Acquisition costs - Infra,1212.4,1212.4,Paid In Full,DM HUB-23-LOG survey invoice,11/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",159460,11/25/2025,11/25/2025,Nov-25,Bill,Development : Engineering : Engineering Procore,10772.62,10772.62,Paid In Full,DM Prelim power design & site electrical master plan - Thru 11/21/2025,12/11/2025
"Nexus Hubbard Power, LLC",Everllence USA INC,6803416,11/26/2025,12/11/2025,Nov-25,Bill,Development : Asset Procurement : Asset Procurement Procore,8888253.75,8888253.75,Paid In Full,"""DM 5% (five percent) of the Scope of Supply Price and Site Activities Price shall be payable by telegraphic bank transfer upon receipt of an applicable invoice which shall be submitted such that payment shall become due 2 (two) months after Effective Date""",12/5/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1077,11/30/2025,12/30/2025,Nov-25,Bill,Infrastructure : Legal - Infra,16672.5,16672.5,Paid In Full,DM November legal services - confirmed land - KH - November 2025,12/31/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25214.000-2,11/30/2025,12/15/2025,Nov-25,Bill,Development : Engineering : Engineering Gen,27000,27000,Paid In Full,DM Support buildings - BD and architecture  - Through 11/30/2025,12/22/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",159656,12/1/2025,12/2/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,2420,2420,Paid In Full,DM Nexus High Voltage Conceptual Design - November 2025,12/11/2025
"Nexus Data Centers, LLC","BMP Partners, Inc",3000410,12/1/2025,12/31/2025,Dec-25,Bill,Corporate : Marketing / Branding,1326.57,1326.57,Paid In Full,DM Office branded supplies,1/6/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3120,12/1/2025,12/10/2025,Dec-25,Bill,Corporate : Accounting,1380,1380,Paid In Full,DM Advisory services for ERP - November 2025,12/22/2025
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3487,12/1/2025,12/1/2025,Dec-25,Bill,Infrastructure : Acquisition costs - Infra,12500,12500,Paid In Full,"DM November 2025 services for open, closing, and mgmt - November 2025",12/8/2025
"Nexus Data Centers, LLC","Braintek, LLC",45007,12/1/2025,12/16/2025,Dec-25,Bill,Corporate : IT : Services / License,2910.43,2910.43,Paid In Full,DM December SaaS and managed services - December 2025,12/22/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50006,12/1/2025,12/15/2025,Dec-25,Bill,Corporate : Business development,20000,20000,Paid In Full,DM December Advisory Fee - December 2025,12/15/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-900,12/1/2025,12/15/2025,Dec-25,Bill,Corporate : HQ / Office,14890.17,14890.17,Paid In Full,"DM Jan office rent, November = IT, Meeting rooms, Copy/print, kitchen, security cards",12/18/2025
"Nexus Data Centers, LLC","Ultera, llc",1251,12/3/2025,12/18/2025,Dec-25,Bill,Corporate : Workforce,55000,55000,Paid In Full,DM Recruiting Fees - Finance - Commission,12/22/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0934,12/3/2025,1/10/2026,Dec-25,Bill,Development : Utilities : Utilities Gen,9037.96,9037.96,Paid In Full,DM Q4 2025 & Q1 2026 usage fees - Q4 2025 & Q1 2026,1/9/2026
"Nexus Apex Holdings, LLC",SLR international corporation,10021377,12/4/2025,12/4/2025,Dec-25,Bill,Development : Regulatory : Regulatory Procore,23721.25,23721.25,Paid In Full,"DM Feasibility & Design Analysis, Dispersion Modeling - Air permitting - November 2025",12/5/2025
"Nexus Hubbard Power, LLC",Everllence USA INC,6803438,12/5/2025,12/20/2025,Dec-25,Bill,Development : Asset Procurement : Asset Procurement Procore,29949511.6,29949511.6,Paid In Full,DM Downpayment on MAN 11 order,12/8/2025
"Nexus Data Centers, LLC",Datasite LLC,INV-870324,12/5/2025,1/4/2026,Dec-25,Bill,Corporate : Finance,3249.7,3249.7,Paid In Full,DM Pages processed in VDR - November 2025,1/2/2026
"Nexus Hubbard Power, LLC","Cureton Midstream II, LLC (WTG)",LNTP Notice,12/5/2025,12/15/2025,Dec-25,Bill,Operations : Gas : Gas Gen,10528785,10528785,Paid In Full,DM LNTP notice payment,12/8/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160065,12/9/2025,12/9/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,13691.95,13691.95,Paid In Full,DM Services through 12/5 - Prelim power design - Thru 12/5/25,12/15/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020036194,12/10/2025,12/10/2025,Dec-25,Bill,Corporate : Legal,957150.76,957150.76,Paid In Full,DM November legal services  - November 2025,12/15/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160208,12/11/2025,12/11/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,4332,4332,Paid In Full,DM Early site work - permitting  - Through 11/30/2025,12/15/2025
"Nexus Data Centers, LLC","BMP Partners, Inc",300562,12/11/2025,1/11/2026,Dec-25,Bill,Corporate : Marketing / Branding,135.24,135.24,Paid In Full,DM Hoodie embroidery for the team,1/9/2026
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-535,12/15/2025,12/16/2025,Dec-25,Bill,Infrastructure : Acquisition costs - Infra,1753.65,1753.65,Paid In Full,DM Survey for HUB-35,12/17/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-540,12/15/2025,12/16/2025,Dec-25,Bill,Infrastructure : Acquisition costs - Infra,617.03,617.03,Paid In Full,DM Survey for HUB-23,12/16/2025
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259-02,12/15/2025,1/14/2026,Dec-25,Bill,Development : Construction : Construction Procore,189941.98,189941.98,Paid In Full,"DM LNTP 400K capped T&M - per diem, contract equipment invoices from third parties, and subcontractor invoices) - November 2025",1/12/2026
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251227-004,12/15/2025,1/15/2026,Dec-25,Bill,Development : Engineering : Engineering Gen,447717,447717,Paid In Full,DM Final Geotech report payment,1/9/2026
"Nexus Data Centers, LLC","PA Consulting Group, Inc.",10407,12/17/2025,1/17/2026,Dec-25,Bill,Corporate : Finance,110000,110000,Paid In Full,DM ERCOT BTM Generation Support - 50% of fixed fee,2/18/2026
"Nexus Land Holdings, LLC",Champion Energy Services,2.535E+14,12/17/2025,1/2/2026,Dec-25,Bill,Infrastructure : Utilities - Infra,317.01,317.01,Paid In Full,DM Electric for 845 HCR 3369 - 11/17/25 - 12/13/2025,1/2/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3136,12/17/2025,12/17/2025,Dec-25,Bill,Corporate : Accounting,8800,8800,Paid In Full,DM ERP & Accounting Advisory Services  - 11/30 - 12/13,1/2/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160381,12/18/2025,12/18/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,5865,5865,Paid In Full,DM Electrical HV design work for PowerCo - 11/22/2025 - 12/5/2025,12/22/2025
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,N/A - contract stipulated,12/18/2025,12/18/2025,Dec-25,Bill,Infrastructure : Residential Improvements - Infra,61855.06,61855.06,Paid In Full,DM2 invoices 12/18 and 12/22 25% upfront payment for rehab work at HUB-01 - Rehab to building on HUB-01 over 3 months,12/22/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10021978,12/19/2025,12/19/2025,Dec-25,Bill,Development : Regulatory : Regulatory Procore,3725,3725,Paid In Full,DM Professional Monthly Nov 2025 to Dec -2025 - 11/15/2025-12/12/2025,2/3/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A085359,12/19/2025,1/18/2026,Dec-25,Bill,Corporate : Accounting,67506,67506,Paid In Full,DM Consulting services - REVISED invoice  - Aug - October 2025,1/20/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  12/19/25 -1,12/19/2025,12/19/2025,Dec-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,1/6/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  12/19/25 -2,12/19/2025,12/19/2025,Dec-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,1/6/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  12/19/25 -3,12/19/2025,12/19/2025,Dec-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,1/6/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  12/19/25 -4,12/19/2025,12/19/2025,Dec-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,1/6/2026
"Nexus Apex Holdings, LLC",michels construction inc,21255116,12/22/2025,12/22/2025,Dec-25,Bill,Development : Fiber : Fiber Procore,105183.75,105183.75,Paid In Full,DM Fiber Carrier Engagement & OSP Fiber Network  Design to Project Apex-TX - Period to 12/14/25,1/5/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",11202519,12/23/2025,12/23/2025,Dec-25,Bill,Development : Regulatory : Regulatory Procore,26956.71,26956.71,Paid In Full,"DM Phase 1 & 2 ESA, wetland delineation survey, equator principle items - 11/1 - 11/28",1/9/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-004,12/23/2025,1/22/2026,Dec-25,Bill,Development : Project Management : Project Management Procore,83299.78,83299.78,Paid In Full,"DM Schedule management services for the Nexus Program Team - PowerCo. Reference services agreement signed on 7/16/2025 between IPI and Nexus Data Centers; labor, software recovery, reimburseable expenses - November 2025",1/22/2026
"Nexus Data Centers, LLC",Newmark Partners LP,478454-R,12/24/2025,12/24/2025,Dec-25,Bill,Corporate : Finance,30000,30000,Paid In Full,DM Valuation services retainer  - Val to be completed in Jan 2026,12/29/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160455,12/29/2025,12/29/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,23046.35,23046.35,Paid In Full,DM PowerCo Electrical Design - Thru 12/19/25,1/9/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3156,12/29/2025,12/29/2025,Dec-25,Bill,Corporate : Accounting,15835,15835,Paid In Full,DM December accounting advsiory & ERP support - December 2025,1/9/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3538,12/29/2025,12/29/2025,Dec-25,Bill,Infrastructure : Acquisition costs - Infra,14500,14500,Paid In Full,DM Decemeber 2025 - land portfolio maintenance and commision payments  - Decemeber 2025,12/31/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160544,12/30/2025,12/30/2025,Dec-25,Bill,Development : Engineering : Engineering Procore,7824.5,7824.5,Paid In Full,DM PowerCo Electrical Design - 12/6/25 to 12/19/25,1/9/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,49062,12/30/2025,1/15/2026,Dec-25,Bill,Development : Construction : Construction Procore,20000,20000,Paid In Full,DM LNTP initial payment of $20K in 10 bus days,1/7/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1098,12/31/2025,1/30/2026,Dec-25,Bill,Infrastructure : Legal - Infra,15255,15255,Paid In Full,DM December legal services  - December 2025,2/3/2026
"Nexus Data Centers, LLC","Netgain Solutions, Inc.",INV11931,12/31/2025,1/30/2026,Jan-26,Bill,Corporate : IT : Services / License,4290.66,4290.66,Paid In Full,DM Net asset for NetSuite - license and implementation - 2026 for license; implementation one time,2/4/2026
"Nexus Data Centers, LLC","Braintek, LLC",45101,1/1/2026,1/16/2026,Jan-26,Bill,Corporate : IT : Services / License,3026.79,3026.79,Paid In Full,DM December SaaS and January managed services & SaaS - December 2025 & January 2026,1/12/2026
"Nexus Data Centers, LLC",Regus Corporation,7970-982,1/1/2026,1/15/2026,Jan-26,Bill,Corporate : HQ / Office,14778.36,14778.36,Paid In Full,"DM Feb office space, IT services for December, December meeting room, and Ketich amenities for December",1/16/2026
"Nexus Data Centers, LLC",Hollee Mize,25-Dec,1/2/2026,1/17/2026,Jan-26,Bill,Corporate : Workforce,5312.5,5312.5,Paid In Full,"DM Consulting services - staffing, benefits, salaries, etc. - 12/10/25 - 12/31/25",1/20/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ09359,1/2/2026,2/1/2026,Jan-26,Bill,Development : Project Management : Project Management Procore,10500,10500,Paid In Full,DM Geotech engineering recommendations and consultancy services  - 12/7/25-12/27/2025,2/4/2026
"Nexus Land Holdings, LLC",Frontier Waste Solutions,8207155,1/5/2026,1/5/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,168.13,168.13,Paid In Full,DM Trash service / collection at HUB 14 - 2/1/26 - 2/28/26,2/12/2026
Nexus Data Centers Hubbard LLC,"CorePhase, LLC",2025-NEX-001-001 (Rev. 01),1/6/2026,1/21/2026,Jan-26,Bill,Development : Project Management : Project Management Procore,206916.4,206916.4,Paid In Full,DM 11/17 - 12/26 expenses under SOW # 2025-NEX-001 - 11/16 - 12/26,1/21/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-879369,1/6/2026,2/5/2026,Jan-26,Bill,Corporate : Finance,3004.84,3004.84,Paid In Full,DM December pages processed - Apex Equity - December 2025,2/4/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-881661,1/6/2026,2/5/2026,Jan-26,Bill,Corporate : Finance,7465.05,7465.05,Paid In Full,DM December pages processed - Apex - December 2025,2/4/2026
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020036536,1/7/2026,1/7/2026,Jan-26,Bill,Corporate : Legal,1612705.49,1612705.49,Paid In Full,"DM Transactional services and expenses through December 31, 2025 and prior months deferred fees and at risk premium (557k december, 702k deferred amount, 351k at risk) - December 2025",2/6/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,24569,1/7/2026,2/6/2026,Jan-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4194549,4194549,Paid In Full,DM 30% progress payment upon PO execution for IES / EATON (UPS units) - 30% progress payment,1/7/2026
"Nexus Apex Holdings, LLC","BGE, Inc.",37344,1/7/2026,1/7/2026,Jan-26,Bill,Development : Regulatory : Regulatory Gen,1000,1000,Paid In Full,DM Traffic Data Collection - Study  - Services through 12/26,1/9/2026
"Nexus Data Centers, LLC",Newmark Partners LP,478454-001,1/7/2026,2/7/2026,Jan-26,Bill,Corporate : Finance,30000,30000,Paid In Full,DM Remaining valuation services  - Val to be completed in Jan 2026,2/5/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259-03,1/7/2026,2/6/2026,Jan-26,Bill,Development : Construction : Construction Procore,190296.75,190296.75,Paid In Full,DM Hubbard Power Clearing and Grubbing - 12/1/25 - 12/7/25,2/5/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259001-1,1/7/2026,2/6/2026,Jan-26,Bill,Development : Construction : Construction Procore,710705.75,710705.75,Paid In Full,"DM Labor, materials, equipment for Nexus Hubbard Power LS - Period ending 12/28/25",2/5/2026
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B4,1/7/2026,3/9/2026,Jan-26,Bill,Corporate : IT : Services / License,6662.5,6662.5,Paid In Full,DM Subscription access - 4/25 to 4/26 - 4th installment,3/11/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160797,1/8/2026,1/8/2026,Jan-26,Bill,Development : Engineering : Engineering Procore,14787.29,14787.29,Paid In Full,DM Electrical HV design for PowerCo - Services through 1/3/26,1/20/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 1/8/26,1/8/2026,1/8/2026,Jan-26,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,2/3/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 1/9/26,1/9/2026,1/9/2026,Jan-26,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,2/3/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",160895,1/12/2026,1/12/2026,Jan-26,Bill,Development : Engineering : Engineering Procore,4042.5,4042.5,Paid In Full,DM Electrical HV design work for PowerCo - 12/20 to 1/2,1/20/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803484,1/12/2026,1/27/2026,Jan-26,Bill,Development : Asset Procurement : Asset Procurement Procore,17776507.5,17776507.5,Paid In Full,DM 3rd milestone 10% billing,1/26/2026
"Nexus Apex Holdings, LLC",Frontier Waste Solutions,DM - 01122026,1/12/2026,1/12/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,168.13,168.13,Paid In Full,DM - missing inv #,1/12/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3178 (revised),1/13/2026,1/13/2026,Jan-26,Bill,Corporate : Accounting,6665,6665,Paid In Full,DM Accounting advisory / systems - 12/28 to 1/10,3/24/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A095365,1/14/2026,2/13/2026,Jan-26,Bill,Corporate : Accounting,6575,6575,Paid In Full,DM December tax consulting services  - December 2025,2/13/2026
"Nexus Land Holdings, LLC",Champion Energy Services,2.6014E+14,1/14/2026,2/2/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,5.38,5.38,Paid In Full,DM 12/1 - 12/18 utility Late fee,2/12/2026
"Nexus Land Holdings, LLC",Champion Energy Services,2.6014E+14,1/14/2026,2/2/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,386.97,386.97,Paid In Full,DM 12/13 to 1/13 utility,2/12/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,Inv11526,1/15/2026,1/15/2026,Jan-26,Bill,Infrastructure : Residential Improvements - Infra,30927.53,30927.53,Paid In Full,DM  American Craftsman invoice per agreement,1/20/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 1/16/26,1/16/2026,1/16/2026,Jan-26,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,2/3/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,24760,1/17/2026,2/16/2026,Jan-26,Bill,Development : Asset Procurement : Asset Procurement Procore,11720400,11720400,Paid In Full,DM 30% progress payment upon PO execution for busplugs and busway,1/20/2026
"Nexus Apex Holdings, LLC",SLR international corporation,10022680,1/19/2026,1/19/2026,Jan-26,Bill,Development : Regulatory : Regulatory Procore,76890.05,76890.05,Paid In Full,DM Nexus PSD air permitting - various activities on invoices - 11/29/25 - 1/2/26,1/27/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",161273,1/21/2026,1/21/2026,Mar-26,Bill,Development : Engineering : Engineering Procore,5990,5990,Paid In Full,25010731-pp Hubbard Data Center Early Site Work Package - Civil Engineering,4/22/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),55328786065,1/21/2026,2/6/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,20.13,20.13,Paid In Full,DM Service Period 1/07/2026-1/19/2026,2/2/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-005,1/21/2026,2/20/2026,Jan-26,Bill,Development : Project Management : Project Management Procore,136827.94,136827.94,Paid In Full,"DM December 2025 preconstruction for Apex: Labor, software recovery, reimbursable expenses - December 2025",2/20/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200794941,1/22/2026,2/21/2026,Jan-26,Bill,Development : Engineering : Engineering Procore,500818.1,500818.1,Paid In Full,"DM Professional services - PO 1004 (amendment) - project setup, mass grading, C&S, Fire pump allowance - 12/5/25 to 12/27/2025",2/26/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200794944,1/22/2026,2/21/2026,Jan-26,Bill,Development : Engineering : Engineering Procore,222168.18,222168.18,Paid In Full,DM Professional services - engineering - short form agreement PO 1001 - 12/3/25 - 12/27/25,2/26/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",12202514,1/22/2026,1/22/2026,Jan-26,Bill,Development : Regulatory : Regulatory Procore,70481.16,70481.16,Paid In Full,"DM Professional Services Rendered From November 29, 2025 - December 26, 2025",1/23/2026
"Nexus Land Holdings, LLC",Champion Energy Services,2.6021E+14,1/22/2026,2/9/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,125.26,125.26,Paid In Full,DM Electric 12/18/2025 - 1/20/2026,2/12/2026
"Nexus Apex Holdings, LLC",Dorsey + Whitney LLP,4148918,1/22/2026,2/22/2026,Jan-26,Bill,Corporate : Legal,2605,2605,Paid In Full,DM Legal services rendered through 1/22/2026 - 12/8/25-1/7/2026 - only .1 of an hour was in January,2/20/2026
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  1/22/26,1/22/2026,1/22/2026,Jan-26,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,2/3/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,PC-01,1/22/2026,2/6/2026,Jan-26,Bill,Development : Construction : Construction Procore,36325.58,36325.58,Paid In Full,DM Pre-construction services 12/14/2025-1/18/2026 - 12/14/2025-1/18/2026,2/5/2026
"Nexus Apex Holdings, LLC",SLR international corporation,10022842,1/23/2026,1/23/2026,Jan-26,Bill,Development : Regulatory : Regulatory Procore,260,260,Paid In Full,DM Noise study  - 12/13/25 - 1/16/26,2/3/2026
"Nexus Apex Holdings, LLC",michels construction inc,21265100,1/23/2026,1/23/2026,Jan-26,Bill,Development : Fiber : Fiber Procore,68227.5,68227.5,Paid In Full,DM Fiber Carrier Work - period to 1/18/2026,1/27/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),54008375826,1/23/2026,2/9/2026,Jan-26,Bill,Infrastructure : Utilities - Infra,113.53,113.53,Paid In Full,DM Service Period 12/18/2025-1/19/2026,2/5/2026
"Nexus Land Holdings, LLC",David Kaddatz,# EST-000110,1/27/2026,1/28/2026,Jan-26,Bill,Infrastructure : Residential Improvements - Infra,5346,5346,Paid In Full,DM Deposit - HUB-21 Hill Repairs,2/18/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",161353,1/27/2026,1/27/2026,Jan-26,Bill,Development : Engineering : Engineering Procore,26667.5,26667.5,Paid In Full,DM Electrical HV design for PowerCo - Service through 1/23/2026,2/4/2026
